질문,답변
(상용) 수동재생 후 검댕이 게이지가 남아 있어도 상관없나요?,"문제없습니다. 검댕이 게이지가 1~2칸 정도 남아 있을 수 있지만, 수동재생이 30분 정도 진행 후 정상적으로 종료되었다면 상당량의 검댕이가 제거된 상태이므로 안심하셔도 됩니다. (게이지 변화 없을 시 재실시 필요)"
(상용) 수동재생  가능 조건은 어떻게 되나요?,"충분한 엔진 웜업수온게이지 중앙위치, 차량 정차 상태파킹브레이크 체결, 기어중립+수동재생버튼을 3초 이상 누르면 수동재생 시작됩니다."
(상용 특장) 엑시언트 덤프차량 판 스프링 보증기간이 어떻게 되나요?,엑시언트 덤프 차량 판스프링 보증기간을 아래와 같이 알려드리오니 참고하시기 바랍니다. - 판스프링 센터부프론트/리어 18개월 거리 무관- 판스프링 끝단부프론트 2년거리 무관 적용시점 18년 3월 19일 이후 출고차량
(상용 특장) 특장 어퍼바디 장착 작업 시 기술적인 지원이나 관련 자료가 필요한 경우가 많이 있습니다. 어디로 문의를 드리면 되나요?,현재 특장 어퍼바디 작업 관련한 기술지원을 위해 상용 특장 웹사이트을 운영하고 있습니다 https://bbm.hyundai.com/login/index.do 위 웹사이트에 접속하셔서 회원가입을 하시면 바디빌더 매뉴얼 / 바디빌더 드로윙 / 프레임천공도 / 기술통신 / 인증자료 등 열람하실 수 있고 Q&A 게시판을 통해 기타 문의 사항에 대해 답변받으실 수 있습니다.
"(상용 특장) 법인명의지입, 개인사업자, 특장업체 출고 차량은 어떻게 등록하나요?",블루멤버스 실 운행자 등록을 통해 내 차를 등록하실 수 있습니다.
정비 예약 확인/취소는 어떻게 하나요?,마이페이지의 정비예약신청내역에서 확인 및 취소가 가능합니다.
정비관련 업체구분은 어떻게 하나요?,"하이테크센터와 서비스협력사로 구분되어 있습니다.  하이테크센터는 저희 현대자동차에서 직영으로 운영하는 정비거점이고 서비스협력사는 현대자동차와 협정을 체결후 규정에 의거 당사 고객에게 정비서비스를 제공하는 거점이며, 서비스협력사는 다시 종합블루핸즈와 전문블루핸즈로 나누어 집니다.  종합블루핸즈란 국가에서 자동차 종합정비업 및 소형정비업으로 등록된 정비업소이며, 전문블루핸즈란 국가에서 자동차 부분정비업으로 인가된 정비업소 입니다."
차량의 연비가 안 좋은데 어떻게 해야 하지요?,"많은 분들이 연비에 대해 질문을 하십니다.  질문의 유형은 대략 두 가지 정도로 요약할 수 있습니다. 첫 번째는 차량에 부착되어 있는 연비 표시 스티커상의 연비와 실주행시의 연비가 틀린 경우, 두 번째는 종전보다 연료가 짧은 시간에 과다 소비될 때입니다.  첫 번째 질문에 대한 답변은 연비의 정의나 측정방법에 대해 정확히 알지 못해 제기될 수 있는 질문입니다. 현재 국내에서 실시되고 있는 연비 측정방법은 0K모드(주행거리 160km이내의 차량을 가지고 테스트)로 사용할 운전자가 체감하는 성능과 제원표상 제원과 오차를 최대한 줄이기 위해 정밀 측정되고 있습니다. 하지만 운전자가 운행하는 구간의 교통흐름과 도로 상태, 운전 방법, 차량 적재물의 무게, 차량 상태 등 연비에 영향을 끼칠 수 있는 요인에 따라 실제 표시연비와는 차이가 날 수 있습니다.  두 번째는 차량의 상태와 밀접한 연관이 있습니다. 현재의 운행되는 대부분의 차량들은 연료 분사량을 일정하게 유지시켜주기 위해 전자제어를 사용하고 있는데, 이 연료 분사량을 결정하는 센서의 고장, 또는 엔진내부의 청결함이 떨어질 때, 소모품(엔진오일 · 점화플러그 · 점화케이블 · 배전기캡 · 로터 등)을 제때 교환하자 않았을 경우에도 연비가 나빠질 수 있습니다. 즉, 연료가 비정상적으로 과다 소모되는 것이지요.  이런 경우 정비업체를 방문해 전문 진단장비를 사용, 엔진 상태를 점검 받아 보는 것이 좋습니다."
인터넷으로 정비예약은 어떻게 하는건가요?,현대자동차 홈페이지 주요 메뉴중 [서비스네트워크 검색/예약] 를 접속하셔서 예약을 클릭하시면 됩니다 고객님의 이력을 관리하기 위하여 회원로그인을 한 후 신청을 할 수 있도록 하였습니다. 정비예약 안내멘트에 따라 해당항목을 클릭하셔서 현재일로 부터 2주 후까지 신청하실 수 있습니다.  ※ 현대자동차홈페이지 > 고객서비스 > 서비스네트워크 > 서비스네트워크 검색/예약 참조 ▶바로가기
탬퍼러리 타이어(임시타이어)를 적용하는 이유가 뭔가요?,"템퍼러리 타이어는 풀사이즈 타이어 대비 중량이 약 3~5kg 이상 감소되어 연비 효율성이 높으며, 작은 부피로 트렁크의 공간 활용도가 향상되는 장점이 있습니다.  이와같은 이유로 전세계 자동차 제조사에서 템퍼러리 타이어를 공통적으로 적용하고 있는 추세입니다.  템퍼러리 타이어는 외관 상 일반 타이어보다 작아보이지만, 경도(단단하기)가 높아 주행중 심각한 장애가 없는 범위에서 타이어의 동반경(주행중 타이어 사이즈) 차이가 최소화 되도록 개발 되었습니다.  또한 주행 안정성을 위하여 제동시 쏠림, ABS 센서 오작동 등 템퍼러리의 안전성 검증 후 적용되었습니다.  다만, 주행중 타이어 펑크 등 비상 상황에서 템퍼러리 타이어로 장착 후 시속 80km를 유지한다면 템퍼러리 타이어는 실용적이며 안전하게 사용할 수 있습니다."
"자동차에서 소음이 생기는 경우, 리콜을 받을 수 있나요?","리콜을 잘못 정의하여 제품에 문제가 생겼을 경우 제품 자체를 교환해주는 것으로 알고 있거나, 어떤 고장이든 리콜 해야 한다고 생각하는 경우가 종종 있습니다. 이는 자동차회사에서 자체적으로 제품 성능을 높이기 위하여 실시하고 있는 서비스 활동을 리콜이라고 오해해서 발생되는 상황입니다.  리콜(Recall)은 사전적 의미로 불량 제품의 회수를 뜻하며 다른 용어로는 """"call back"""" 이라고도 합니다.  자동차 회사에서는 제품에서 """"안전에 관련된 문제"""" 가 확인되었을 경우 언론기관에 발표를 하고 대상고객에게 반드시 고객통지문을 발송, 불량의 원인이 되는 부품을 100% 수거해 점검하고 문제되는 부분에 대해 개선된 부품으로 교환 · 수리하는 것을 리콜로 정의하고 있습니다.  이 정의에 따르면 자동차에서 소음이 생기는 경우는 안전과 관련된 부분이 아니기 때문에 리콜은 받을 수 없습니다. 하지만 소비자의 만족도를 높이기 위하여 차후에 개선된 부품을 무상으로 교체해드리거나, 보증수리를 통해 문제를 해결합니다.  리콜은 소비자의 재산과 생명을 보호하며 동시에 기업의 신뢰성, 성실성을 가늠할 수 있는 잣대입니다. 기업은 소비자에게 피해가 발생하지 않도록 제품의 제작, 생산, 판매뿐 아니라 리콜, 보증수리를 해주며 끝까지 최선을 다해야 할 것입니다."
에어백은 언제 터지나요? 에어백의 작동 조건을 알고 싶습니다.,"에어백은 모든 충돌시에 무조건 작동되는 것은 아닙니다. 사소한 충돌에도 에어백이 펼쳐지면, 이를 다시 장착하는 데에 많은 시간과 경제력이 소비되기 때문에 정확한 조건하에서만 작동 되도록 설계되어 있습니다. 충돌방향, 충돌부위, 충돌정도가 작동조건에서 벗어나 있으면 에어백은 작동하지 않습니다.  정면 에어백 : 정면 에어백(운전석 및 동승석[사양 적용시] 에어백)은 일반적으로 차량 정면, 가운데를 중심으로 약간 왼쪽부터 약간 오른쪽까지 충격이 있을 때, 정면 충돌 센서에 충격이 전달되면 충돌의 세기, 차량의 속도 또는 충돌 각도에 따라 에어백 제어 모듈에서 판단하여 작동되어 집니다.  측면 에어백 : 측면 에어백(사이드 및 커튼 에어백)은 측면 충돌 시, 측면 충돌 센서에 충격이 전달될 때 충돌의 세기, 차량의 속도 또는 충돌 각도에 따라 에어백 제어 모듈에서 판단하여 작동되어집니다."
"에어백을 장착하는 것이 오히려 사고시 위험하다는 이야기가 있던데, 정말인가요?","에어백의 역할은 치명적인 사고로부터 운전자와 탑승자를 좀더 안전하게 보호하는 것입니다. 하지만 갑작스런 팽창시에는 가벼운 찰과상 등을 입을 수도 있습니다. 또한 정상 체중의 성인을 기준으로 개발됐고 충격시 작동시간도 0.05초 정도밖에 되지 않기 때문에 간혹 작은 체구의 여성이나 어린이에게 뜻밖의 충격을 입힐 수도 있습니다.  따라서 조수석에 에어백이 설치된 차량에는 어린이나 작은 체구의 여성을 태우는 일은 삼가는 것이 좋습니다. 이외에도 에어백을 좀더 안전하게 이용하기 위해 지켜야 할 일반적인 주의사항이 있습니다.  운전대에 너무 가깝게 다가선 자세로 운전한다거나 에어백이 장착된 공간 위에 손이나 발, 물건 등을 올려놓는 것은 피해야 합니다. 만일의 경우 손과 발에 의한 충격으로 에어백이 터질 수 있고, 에어백이 작동될 때 올려놓은 물건에 의해 부상을 당할 수 있기 때문입니다. 그리고 """"안전벨트의 작용을 보조하여 충돌 시에 탑승자의 충격을 경감시키는 것""""이라는 에어백의 원래 의미를 생각해 볼 때 무엇보다 안전벨트를 착용하는 것이 에어백의 효과를 높이는 지름길일 것입니다.  에어백을 장착한 차량은 그만큼 더 안전하다는 것을 의미하지만 사고시 100% 안전을 보장하는 것은 아닙니다. 에어백은 어디까지나 안전 보조기구입니다. 따라서 무엇보다 중요한 것은 사고가 나기 전에 운전자 자신이 안전운행을 하려는 노력을 기울이는 것입니다."
냉매량이 부족한지 에어컨 냉방성능이 떨어진 것 같습니다. 어떻게 하면 좋을까요?,"에어컨 바람은 정상적으로 나오지만 냉방이 안 되는 경우에는 우선 바람의 온도가 어느 정도인지 손으로 체크해 봅니다. 시원하지 않거나 더운 기운이 느껴지면 에어컨의 냉매가 부족해 찬 공기를 내뿜지 못하는 상태입니다.  에어컨 냉매는 소모되는 것이 아닙니다. 따라서 신차 출고 이후 3년 이내에 충격이나 사고가 없었는데 이와같은 현상이 발생하면 차에 이상이 있는 것이니 정비공장을 방문하여 검사를 받아 보는 것이 좋습니다. 정비공장에 입고하여 에어컨 냉매압 시험이나 형광물 투입법, 냉매 누출 센서기를 이용하여 냉매 누출 여부를 확인하고 냉매를 채워주어야 합니다.  위와 같이 냉매가 눈에 띄게 줄어들지는 않았더라도 에어컨 시스템에는 숨구멍이라는 것이 있어 미세량이 빠져 나갈 수 있기 때문에 예방점검 차원에서 2~3년 주기로 냉매량을 점검해 주어야 합니다.  또 여름철만 되면 냉매를 교환해야 되는 것으로 아는 운전자들이 많은데, 이는 잘못된 상식입니다. 본격적인 여름철이 되기 전에 냉매의 누출 여부를 확인한 뒤 부족분만 채우면 됩니다.  에어컨 관리를 잘 할수록 쾌적하고 시원한 여름을 보낼 수 있다는 것을 잊지 말아야 하겠습니다."
"오랜만에 에어컨을 켰는데, 냄새가 납니다. 어떻게 청소하면 좋을까요?","오랜만에 켠 에어컨에서 냄새가 나는 것은 바람이 방출되는 에어컨 내부 청소를 제대로 하지 않아, 남아있던 수분과 먼지가 곰팡이 균으로 변했기 때문입니다.  에어컨을 자주 사용하더라도 대부분 단순히 스위치 조작으로 작동시키는 것에만 신경을 쓸 뿐 내부 청소에는 소홀하기 마련입니다. 그렇다고 청소를 하려고 인스트루먼트 판넬(크러쉬패드)을 모두 떼거나 정비소를 방문해 청소하기는 번거롭기만 합니다. 그래서 많이 사용하는 것이 스프레이 형식의 보조용품입니다. 하지만 냄새 제거 효과가 오래 유지되지는 않습니다.  더 큰 효과를 보려면 냄새의 원인인 차량 내부의 수분과 먼지가 차량 외부로 방출될 수 있도록 환기를 시켜주어야 합니다. 에어컨을 환기시킬 때에는 차문을 전부 열고 히터 위치에서 송풍을 고단에 놓는 것이 좋습니다. 이렇게 하면 쌓여 있던 먼지가 밖으로 방출이 되고,바람이 나오는 방출구 내부가 마르면서 냄새가 제거됩니다. 또 항균 필터(에어컨 필터)가 장착되어 있는 차량은 항균 필터 상태를 확인하고 자주 교환해 주는 것이 좋습니다. 교환 주기는 주변의 대기환경 오염 정도에 따라 다르지만 평균 10,000～20,000km사이에 교환해 주는 것이 좋습니다.  ★올바른 에어컨 사용요령 안내★  ①에어컨 스위치를 항상 켜놓지 맙시다. ☞에어컨 스위치를 켜둔 상태에서 차 시동을 걸 경우, 에어컨 컴프레셔(압축기)를 함께 작동시키는 과정에서 부하가 발생되고, 시동모터와 배터리에도 무리를 줄 수 있으므로 시동 후나 신호대기시 켜는 것이 좋습니다.  ②목적지 도착 3분 전에 에어컨을 끄십시오. ☞에어컨을 끌 때는 목적지 도착 2~3분 전에 미리 끄는 게 좋습니다. 에어컨을 사용하면 외부와의 기온 차 때문에 에어컨 에바퍼레이터(증발기)에 응축수가 생깁니다. 목적지 도착 2~3분 전에 에어컨 스위치를 끈채 바람만 나오게하면 공기통로에 남아있는 수분을 건조시켜 곰팡이가 증식하는 것을 방지할 수 있습니다. 그렇지 않으면 응축수가 먼지와 엉겨 곰팡이가 증식하게 되고 냄새를 유발하는 원인이 됩니다. 아울러 에어컨을 꺼도 한동안 시원한 상태가 유지돼 조금이라도 연료를 아끼는 효과도 있습니다."
"겨울철 창문에 생기는 김서림, 신속히 제거하는 방법이 없을까요?","겨울철 차량 창문 안쪽 김서림으로 바깥이 보이지 않아 운전하는 데 장애가 된 적이 많으실 겁니다.  아무리 닦고 닦아도 사라지지 않아 짜증을 낳는 김서림. 김서림은 대기 중에 포함되어 있는 수분과 온도 때문에 생기는 현상입니다. 대기 중 수분은 찬 곳으로 이동해 열을 뺏으려는 성질이 있는데, 차량 내부의 수분이 차가운 차창 주위 에 몰려 김이 서리게 되는 것입니다.  특히, 겨울철에는 창문을 꼭 닫아 둔 채 오랜 시간 운행하는 경우가 많아 운전자와 탑승자의 호흡으로 배출된 습기가 차 안의 습도를 더욱 높이게 됩니다.  이러한 김서림을 없애기 위해선 차량 내부 온도와 바깥 온도를 같도록 유지시켜 주는 것이 가장 좋은 방법입니다. 차장을 열고 신선한 공기를 유입시켜 안팎 온도를 순간적으로 맞춰 주면 금방 없어 집니다.  제습 기능을 하는 에어컨을 작동시켜 강제로 습기를 없애는 것도 좋은 방법입니다.  현재 생산되는 차량들은 풍향을 창문이나 창문과 발 아래쪽으로 조정할 때 자동으로 에어컨이 작동하도록 되어 있는데, 2000년 이전에 생산된 차량들은 에어컨을 수동으로 켜야 하기에 여러 번 스위치나 컨트롤러를 작동해야 하므로 불편할 수 있습니다.  이러한 불편함을 없애기 위해서는 김서림이 생기지 않도록 미리 예방하는 것이 가장 좋은 방법일 것 입니다. 평소 차량 실내가 눅눅해지지 않도록 히터를 사용해 적정한 습도를 유지해 주는 것이 중요하며 시중에 판매되고 있는 김서림 방지제를 이용하는 것도 한 방법입니다."
"자동변속기 차량의 HOLD, O/D OFF 버튼은 어떤 때 써야 합니까?","HOLD는 ‘잠근다’라는 표현이 적절한 것 같습니다.  눈길이나 빙판길에서는 스노우 체인을 써서 출발하거나 주행하는 것이 큰 도움이 되겠지만 스노우 체인을 당장 감고 운행할 수 없을 때는 회전력이 큰 1단 기어보다 2단 기어로 출발하는 것이 타이어의 슬립을 줄여 출발을 쉽게 합니다.  자동변속기는 모든 출발이 1단이고 사용자의 마음대로 변속을 할 수 없으므로 HOLD를 사용하면 D상태에서 2단으로 출발하므로 운행을 쉽게 합니다. 또한 2, 1(L) 변속 레버를 변경시 HOLD를 작동시키면 기어를 고정시켜 주는 구실을 합니다.  O/D OFF는 ‘over drive off’ 즉 ‘높은 단수를 제어한다’는 의미입니다.  D레인지 상태에서 언덕길 주행이나 급가속이 필요한 경우 O/D OFF를 쓰게 되면 4단으로 주행하던 것을 3단으로 내려 주행시키고 4단으로는 변속이 되지 않게 하는 구실을 합니다.  간혹 D레인지 상태에서 언덕길을 주행하다 보면 60km이상에서 엔진에 힘이 떨어지고 가속 페달을 깊게 밟아도 차량이 탄력을 받지 않는 것을 경험하셨을 것입니다. 수동변속기 차량이라면 운전자가 직접 변속을 제어할 수 있지만 자동변속기 차량은 컴퓨터의 신호에 따라 변속이 되므로 적절한 변속을 이룰 수 없는 경우가 있기에 O/D OFF를 쓰면 운행이 쉬워집니다.  또한 HOLD의 기능과 같이 2(2단 출발 2단 주행), 1(L:1단 출발, 1단 주행)에서 기어를 고정시켜 주는 일을 합니다. 자동변속기 차량을 잘 알고 쓰면 수동변속기보다 더 편하고 경제성 있게 운행할 수 있음을 잊지 말아야 합니다."
블루투스 등록 방법,"블루투스 휴대폰 등록(AVN) 1. 스티어링 리모트 컨트롤의 “통화”버튼 또는 헤드유닛의 “PHONE” 버튼을 누릅니다. 2. ”신규기기 검색” 메시지 창이 표시되면, “예”버튼을 선택 합니다. 3. 폰 신규 검색창이 표시되면, 주변에 있는 블루투스 휴대폰을 검색합니다. 4. 검색목록 화면에서 연결을 원하는 리스트를 선택합니다. 만약 검색결과가 표시되지 않으면 “재검색”버튼을 누릅니다. 5. 블루투스 휴대폰에서 인증번호를 입력한 후 블루투스 휴대폰의 “확인”버튼을 누르면 헤드유닛과 연결됩니다. 6. 인증번호 입력이 되지 않거나 등록에 실패할 경우 “재시도” 메시지 창이 표시됩니다. “예” 버튼을 선택하여 등록을 재시도 합니다.  블루투스 휴대폰 등록 1. “SETUP” 키를 누르십시오. 2. “PHONE” 메뉴를 선택하십시오. 3. “PAIR”를 선택하십시오. 4. 폰의 이름을 말씀하십시오. (예: 홍길동, 현대/기아 자동차 등) 5. 블루투스 등록 모드 화면으로 변경되며 이전 연결된 폰은 연결 해제됩니다. 6. 블루투스 휴대폰을 이용하여 핸즈프리 기기를 검색 하십시오. ※ 블루트스 등록방법은 휴대폰 제조사 마다 상이하므로 휴대폰 설명서를 참조하십시오. 7. 블루투스 휴대폰에 비밀번호 요구 시 블루투스 등록 모드에 표시된 인증번호(“0000”)를 입력하십시오. 8. 등록과정이 종료되면 “등록이 완료 되었습니다.” 또는 “등록이 실패하였습니다.”라고 음성안내를 합니다.  ※ 현대자동차 홈폐이지 > 고객서비스 > 차량 관리 서비스 > 스마트기기 연계 서비스 > 블루투스 호환 안내 바로가기 ▶"
"차량별 와이퍼 사이즈,핸들사이즈,전구 규격 사이즈 문의",취급설명서 8장 차량 제원편 확인 바랍니다. 상세하게 수록되었습니다.  ※ 현대자동차 홈폐이지 > 하단 '자료실' 에서 차종별 취급설명서 검색 ▶바로가기
타이밍벨트 체인 적용 여부 문의,요즘 대부분 차량에서는 반영구적인 타이밍 체인을 사용하고 있습니다.  고객님 차량에 타이밍벨트가 적용될 경우 취급설명서 7장 정기점검편에 점검주기가 수록되어 있습니다.  취급설명서를 확인 하십시오.  ※ 현대자동차 홈폐이지 > 하단 '자료실' 에서 차종별 취급설명서 검색 바로가기 ▶
여름철에 세차시 헤드램프에 습기가 차요!,"세차장까지 차를 주행하게 되면 엔진룸의 열이 헤드램프의 뒷면을 뜨겁게 만듭니다. 이때 차가운 물로 세차를 하면 헤드램프 표면과 내부의 온도차에 의해 내부에 습기가 생깁니다. 단, 여름이 아닌 다른계절에는 램프가 많이 뜨거워지지 않아 습기 생성이 적어집니다.  ※ 습기는 유리의 내/외부 온도 차이에 의해 생기는 자연현상 입니다."
빗길을 운행 후 헤드램프에 습기가 차요!,"""헤드램프를 켜고 주행 시 램프 내부의 온도는 상승하나 렌즈 표면은 빗물에 의해 온도가 떨어져 램프 내/외부의 온도 차이로 내부에 습기가 생깁니다.""  ※ 습기는 유리의 내/외부 온도 차이에 의해 생기는 자연현상 입니다."
제 차량의 연료탱크 용량 70리터인데 주유를 하면 77리터 정도가 더 들어가요. 왜그런건가요? (공칭용량) 팽창공간 문의,"<공칭용량> 주요 제원표에 기재된 연료탱크 용량을 의미하며, 연료탱크마다 안전을 위해 약 10% 정도의 팽창공간을 두며, 팽창 공간을 제외한 연료탱크의 용량을 ""공칭 용량""이라고 부릅니다. (*LPG는 법규상 85%까지만 충전)  *팽창 공간을 두는 이유는 아래와 같습니다.  ① 대기온도에 따른 연료 부피의 변화에 의한 연료의 누유 등을 막기 위함 ② 언덕주차 시 연료 누유 방지 ③ 팽창공간은 안전공간 (모든 연료탱크 적용)"
스마트키 차량인데요. 중립 주차를 하려는데 N단에서 시동을 꺼도 꺼지지가 않는데 다른 방법이 있나요?,"[핸드/풋 파킹 브레이크 적용 차량] ① 주차브레이크를 작동시키고, 브레이크 페달을 밟은 상태에서 「P」 (주차) 위치에 두고 엔진을 정지시키십시오. 스마트 키 장착 차량은 「P」 (주차) 위치에서만 시동을 끌 수 있습니다. 「P」 (주차) 위치가 아닌 곳에서 시동 버튼을 누르면 「ACC」 상태로 됩니다. ② 바퀴에 고임목을 설치하십시오. ③ 주차 브레이크를 해제하십시오. ④ 브레이크를 밟고, 변속레버 앞쪽에 위치한「SHIFT LOCK RELEASE」버튼(버튼커버가 있을 시 열고 키를 꽂아 누르고) 누르고 자동변속기의 위치를「N」(중립)위치로 변속하십시오. 「P」(주차) 위치는 변속기가 잠기는 위치로 차량을 쉽게 움직일 수 없는 위치 입니다.  [전자 파킹 브레이크 적용 차량] ① 주차 블레이크 스위치를 당긴후 5초이내에 주차 브레이크 해제된 상태로 브레이크 페달을 밟은 상태에서 변속레버를 「P」(주차)위치에 두고 시동을 끄십시오. ② 바퀴에 고임목을 설치하십시오. ③ 브레이크를 밟고, 변속레버 앞쪽에 위치한「SHIFT LOCK RELEASE」버튼(버튼커버가 있을 시 열고 키를 꽂아 누르고) 누르고 자동변속기의 위치를「N」(중립)위치로 변속하십시오. 「P」(주차) 위치는 변속기가 잠기는 위치로 차량을 쉽게 움직일 수 없는 위치 입니다.  ※ 단,위와 같은 비상시 주차를 제외하고는 항상 안전을 위하여 「P」(주차) 위치에 놓고 주차 브레이크를 작동 하십시오."
여름철마다 냉매를 교환해야 하나요?,"아닙니다.  에어컨 냉매가스는 새어나가지 않는다면 영구적으로 사용할 수 있습니다. 큰 충격이나 마모 또는 연결부위 O-링 손상 등의 문제로 에어컨관련 부품 이음새 등이 파손되지 않는 한 냉매가스가 새는 경우는 많지 않습니다.  차를 오래타다 보면 조금씩 자연적으로 없어지지만 이는 매우 적은 양입니다. 따라서 매년 에어컨 냉매를 보충해야 할 필요는 없는 것입니다.  에어컨을 2,3단으로 작동시켜 손바닥을 이용하여 냉기를 느낄 수 있으면 문제가 없다고 보시면 됩니다. 에어컨 냉매가스가 없어 에어컨이 시원하지 않으면 냉매가스 누출 원인을 확인하여 가스가 누출되는 원인을 수리하고 냉매가스를 완충하면 됩니다."
