질문,답변
차량대금을 신용카드로 결제할 경우 소득공제가 가능한가요?,불가능합니다.  조세특례제한법 제126조 3항 3호에 의거하여 신규로 출고되는 자동차 구입시 사용한 신용카드 금액은 소득공제 대상에서 제외됩니다.(2002년 12월1일 승인분부터 적용)
자동차 리스로 차를 구매하고 싶어요,자동차 리스는 고객의 다양한 Needs에 맞는 맞춤형 상품 구입이 가능합니다 자동차 리스도 할부나 현금구매와 동일하게 현대자동차 영업사원에게 문의하시면 됩니다.
현대자동차에서 중고차를 구매할 수 있나요?,현대 인증중고차 (certified.hyundai.com) 의 내차사기 서비스를 통해 구매할 수 있습니다. 자세한 사항은 현대 인증중고차 사이트에서 확인해 주세요. 현대 인증중고차 사이트 바로가기▶
자동차 리스에 대해 알고 싶어요,"자동차 리스란, 캐피탈사가 고객이 원하는 자동차를 대신 구매하여 고객에게 차량을 임대하여 제공하여 주고 고객은 캐피탈사에 매월 이용료를 납부하는 방식의 자동차 금융 상품입니다.  고객의 다양한 Needs에 맞는 맞춤형 상품 구성이 가능하며, 자동차 리스도 할부나 현금 구매와 동일하게 현대자동차 영업사원에게 문의하시면 됩니다."
현대자동차 신차구입시 사용할 수 있는 포인트는 뭐가 있나요?,"현대자동차 신차구입시 사용하실 수 있는 포인트는,  현대카드 M포인트, 현대자동차 제휴포인트(외환, KB 등) 및 각종 이벤트를 통해 획득하신포인트 등이 있고 1포인트는 1원으로 환산되어 차량가격 할인을 받으실 수 있습니다.  단, BC 카드 포인트는 2003.5.1일부로 제휴 계약 해지로 인하여 신차 구입시 사용하실 수 없습니다. 기 적립된 포인트는 BC 카드사로 연락하시면 카드 대금에서 차감 청구가 가능합니다."
본인 이외의 가족이 보유한 포인트를 사용할 수 있나요?,'14.8월 개인정보 보호법 개정으로 가족카드/가족회원의 포인트 사용이 불가합니다.  블루멤버스 포인트 및 현대카드 M포인트 모두 본인 및 공동명의자의 포인트로만 차량구입시 사용하실 수 있습니다.
포인트의 유효기간은 어떻게 되나요?,"지급된 블루멤버스 포인트는 60개월(5년) 간 사용 가능합니다. 유효기간 경과 시, 포인트는 월 단위로 익월 1일 소멸됩니다."
세이브오토를 취소하려고 하는데 취소 방법은 어떻게 되나요?,세이브오토 프로그램을 신청하셨던 지점/대리점에 철회/해지신청서가 있습니다. 신청서를 작성하신 후 해당 지점/대리점에 철회/해지 요청을 하시면 됩니다.
장애인 조건으로 차량구입시 혜택을 알고 싶습니다.,"▶장애인 조건으로 차량 구입시 혜택은 크게 3가지 입니다. ① 차량 개소세 면세 ② 지방세(취득세, 등록세, 자동차세)면세(서울시 기준) ③ 공채매입 면세  장애 대상별 면세 내용은 구매 가이드 > 제도 및 규정 > 세금 > 장애인 면세 메뉴에서 확인 가능합니다. 자세히보기 >  ※지방세 면세내용은 각 지방자치단체 조례에 따라 상이하므로 반드시 해당 지방자치단체로 문의 및 구입전 확인을 요합니다."
고엽제 후유증 환자의 면세조건에 대해 알고 싶어요,"고엽제후유증환자 지원에 관한 법률에 적용되는 장애우(友) 고객께서는 2004년 1월 1일 이후 출고되는 차량구입시 개소세 면제를 받으실 수 있습니다.  고엽제후유증 환자 고객의 LPG차량구입 및 개소세 면제는 경도장애 이상의 경우에 가능하며, 국가보훈처에서 발행한 고엽제법 적용 대상 확인원 상에 장애등급이 표기되어 있으면 가능합니다."
광주민주화운동 부상자 면세조건에 대해 알고 싶습니다.,"▶ ""광주민주화 유공자 예우에 대한 법률""에 적용되는 장애우(友) 고객께서는 2004년 1월 1일       이후 출고되는 차량구입시 개소세 면제를 받으실 수 있습니다.       광주민주화운동 부상자 LPG차량구입 및 개소세 면제는 장애 1~14급의 경우에 가능하며,      국가보훈처에서 발행한 ""광주민주유공자증"" 상에 장애등급이 표기되어 있으면 가능합니다."
장애인 가족이 사망했을 경우 장애인용 LPG 차량은 어떻게 해야하나요?,"LPG 승용자동차를 사용하는 장애인 및 국가상이유공자가 사망할 경우, 유가족이 당해차량을 계속 사용이 가능하도록 기존의 사용제한규정(당사자 사망일로부터 1년)이 폐지되었습니다.  개정법령은 산업자원부령으로 확정, 2003.8.11일부로 공포/시행되었으며,  적용대상은 2002.9.30일 이후 LPG 승용자동차를 소유하던 장애인 및 국가상이유공자가 사망한 경우로 그 사망당시 당해 차량을 소유한 보호자 또는 상속받은자가 동 차량을 계속 운행하는 경우에만 해당됩니다."
장애인차량 구입조건에 대해 알고 싶습니다.,"장애인 조건의 차량구입은 장애인 단독명의, 장애인과 주민등록표상 세대를 함께하는 배우자, 직계존비속,형제자매 또는 직계비속의 배우자 공동명의로 구입이 가능합니다.  단, 몇가지 조건이 붙는데 장애인 공동명의 조건으로 구입하신 차량은 차량출고후 5년간 동일조건(주민등록법상 동일세대)를 유지해야 하고 이 조건이 충족되지 않을때 면세받은 금액을 납부하셔야 합니다. 또한 재구입연한이 만 5년으로 되어있어 기간내에 동일차량을 계속 보유하셔야 되며, 이또한 조건 불충족시 면세받으신 세금을 납부하시게 됩니다."
현재 장애인조건의 차량을 보유하고 있습니다. 장애인조건 차량의 추가구입이 가능하나요?,▶ 불가합니다.      장애인조건의 차량구입은 장애인 1인당 1대에 한하여 가능하고 신차 구입후 만 5년후 이후      다시 신차구입이 가능합니다.
세이브오토 및 M포인트 차감을 통해 차량가격을 할인받았습니다. 그런데 세금계산서상 금액과 차이가 있는데 왜 그런가요?,"▶ 세이브오토 및 M포인트는 현대카드사와 공동으로 시행중인 이벤트행사입니다. 세이브오토 및 M포인트 사용을 통해 할인받으신 금액은 전액 세금계산서에서 제외되지 않고 60%는 현대자동차가, 나머지 40%는 현대카드사에서 지원하고 있습니다.  따라서 현대카드사 부담분(40%)은 현대자동차 차량판매에 대한 세금계산서상 할인매출로 인식되지 않습니다."
차량구입에 관련된 금액은 어떠한 결제방식이 있나요?,"▶ 차량구입에 관련된 금액의 결제는 현금, 신용카드 및 할부이용 등의 방법이 있습니다. 그 이외 현재 보유차량 매각대금 대체 및 직불카드 등의 이용은 불가합니다."
차량 대금을 신용카드로 결제하려고 합니다. 계약자 이외의 다른 사람의 카드로 결제가 가능한가요?,"▶ 자동차 구입대금 결제시 본인 이외의 제3자 신용카드를 이용한 결제는 불가능 합니다.  2001년 6월 재정경제부와 관련부처의 법률해석 결과, 당사자간의 동의여부를 불문하고 구매자 이외의 신용카드를 이용한 거래는 여신전문금융법 제19조에서 <위장매출전표 작성행위>에 해당됩니다.  따라서 계약자 본인 이외의 제3자 신용카드는 사용하실 수 없습니다."
할부금을 카드로 결제할 수 있나요?,"▶ 불가능합니다. 할부금은 금전채무로 분리되어 있으며, 여신전문금융업법상 금전채권은 카드로 결제할 수 없게 되어있습니다."
차량 구입시 견적에 포함되는 공채매입과 할인의 차이는 무엇인가요?,"차량을 구입하시는 모든 분께서는 반드시 관할지역(광역시 또는 지방)에서 발행하는 공채를 의무적으로 구입하시도록 되어있습니다.(도시철도법 시행령 등)  이는 지하철이 있는 광역시에서는 지하철 건설에 쓰이는 재원으로 쓰이고 기타 도시에서는 도로확충 및 유지보수에 사용되는 재원으로, 각 지방자치단체에서 7년 거치후 원리금을 일시에 상환해 드리고 있습니다. 이것이 공채매입 입니다.  다만, 7년간의 보유기간 중 분실 등의 위험이 있으므로 원하시는 고객께서는 채권할인 전문업체나 증권사에서 7년 동안 예상되는 자치단체의 이자수익을 제외한 금액을 채권구입과 동시에 돌려드립니다. 이것을 할인매도라고 합니다.  공채할인율은 차량등록일을 기준으로 매일매일 약간씩 변동되오니 차량등록전 공채할인율을 확인하시기 바랍니다."
근저당 설정이 되어 있습니다. 어떻게 해야하나요?,"할부금 완납을 하셨다면 해당 관청에서 근저당 말소 신청을 하셔야 합니다.  차량에 근저당 설정이 되어 있는 경우 할부금 완납을 하셨어도 자동 해지가 되지 않으므로 해당 관청에서 등록원부 갑,을부 서류를 발급받은 후 설정권자가 현대자동차인지 확인하여 설정권자가 현대자동차인 경우는 등록원부 갑,을부를 지참하여 가까운 지점 방문후 근저당 말소 신청서를 수령 받은 후에 관청에 말소신청 해주시면 됩니다.  ※설정권자가 현대캐피탈인 경우 1588-2114로 문의해 주시기 바랍니다."
세금계산서 발급받으려고 하는데 어떻게 해야하나요?,▶ 개인사업자 및 법인사업자 구입고객 2010년 7월 1일부터 세금계산서가 서면이 아닌 전자 세금계산서로 발행이 됩니다. 사이트: http://e-vat.hyundai.com 에서 발급받으시면 됩니다.  ▶ 개인 구입고객 2011년 4월11일부터 차량구입하신 지점(대리점)에서 영수증이 발행됩니다.  ※재발행은 차량구입하신 지점(대리점)으로 문의해 주시기 바랍니다.
차량계약 후 예상납기일에 대해 알 수 있나요?,계약하신 지점(대리점)에서 확인 가능합니다.
차량계약 후 해지 시 계약금은 환불 받을수 있습니까?,"차량 출고전 해지요청시에는 계약금 환불이 가능하며, 자세한 사항은 계약하신 지점(대리점)에 문의 바랍니다."
차량구입시 장착되는 타이어는 선택이 가능한가요?,당사에서 생산되는 차량은 타이어 제조사別 임의 선택은 불가합니다.
